keys_available,(All),,,,,,,
deliveryPossessionDate,(Multiple Items),,,,,,,
,,,,,,,,
Count of unit-id,Column Labels,,,,,,,
Row Labels,2-Room Flexi,3Gen,3-Room,"3-Room (Income Ceiling $14,000)","3-Room (Income Ceiling $7,000)",4-Room,5-Room,Executive
Ang Mo Kio,11,,4,,,15,1,
Bedok,21,,13,,,11,1,
Bishan,2,,,,,5,2,
Bukit Batok,5,,,,2,13,6,
Bukit Merah,5,,7,,,6,2,
Bukit Panjang,7,3,,,2,6,2,
Bukit Timah,1,,,,,,1,
Central,,,1,,,,,
Choa Chu Kang,8,,,,,3,2,
Clementi,,,7,,,8,3,
Geylang,16,,9,,,17,,
Hougang,14,,,,5,7,4,
Jurong East,3,,,,1,1,1,
Jurong West,7,,,,4,10,3,
Kallang/Whampoa,8,,5,,,5,1,1
Marine Parade,,,2,,,,,
Pasir Ris,1,,,,,5,2,3
Punggol,34,2,,4,3,37,26,
Queenstown,23,,12,,,7,1,
Sembawang,,,,,,2,,
Sengkang,10,,,,1,20,5,
Serangoon,1,,2,,,9,2,
Tampines,13,2,11,,,35,17,
Toa Payoh,17,,19,,,15,3,
Woodlands,9,,,,7,9,9,1
Yishun,28,,,,6,38,6,
